[2020-03-06 18:08:10.245716] Sent:     {"mode": 119, "field": "pan.state", "val": "11"}
[2020-03-06 18:08:10.295258] Received: {"t":121,"field":"pan.state","val":"11"}
[2020-03-06 18:08:11.189380] Received: {"t":1015,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:12.549387] Received: {"t":2375,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:13.909356] Received: {"t":3735,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:15.269368] Received: {"t":5095,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:15.968837] Sent:     {"mode": 114, "field": "pan.state"}
[2020-03-06 18:08:16.075263] Received: {"t":5901,"field":"pan.state","val":"11"}
[2020-03-06 18:08:16.629406] Received: {"t":6456,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:17.989424] Received: {"t":7816,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:19.349380] Received: {"t":9176,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
[2020-03-06 18:08:20.710390] Received: {"t":10536,"svrty":"NOTICE","msg":"[Quake Notice] Radio State 5 has ran out of cycles."}
